,Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
31,Beach,Mornington Peninsula Shire Council,Koonya Ocean Beach,144.7638364,-38.3540582,,,Blairgowrie,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Tourist', 'Beach', 'Beach']"
32,Beach,Mornington Peninsula Shire Council,Mills Beach East,145.04896530000000,-38.2106811,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
33,Beach,Mornington Peninsula Shire Council,Mills Beach West,145.04433980000000,-38.2135686,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
34,Beach,Mornington Peninsula Shire Council,Moondah Beach,145.0721467,-38.1872034,From the Aboriginal term for a black snake.,http://www.bcs.asn.au/vic_coast.pdf,Mount Eliza,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Tourist', 'Beach', 'Beach']"
35,Beach,Mornington Peninsula Shire Council,Mothers Beach,145.0347304,-38.2148646,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
36,Beach,Mornington Peninsula Shire Council,Mount Martha Beach North,145.01722820000000,-38.2622958,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
37,Beach,Mornington Peninsula Shire Council,Mount Martha Beach South,145.0070072,-38.270628,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
38,Beach,Mornington Peninsula Shire Council,No. 16 Beach,144.79153460000000,-38.39346630000000,,,Rye,"['Mornington Peninsula Shire Council', 'Rye', 'Tourist', 'Beach', 'Beach']"
39,Beach,Mornington Peninsula Shire Council,Ocean Beach,145.015919,-38.4817403,,,Flinders,"['Mornington Peninsula Shire Council', 'Flinders', 'Tourist', 'Beach', 'Beach']"
40,Beach,Mornington Peninsula Shire Council,Pearses Beach,144.7737539,-38.3804818,,,Blairgowrie,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Tourist', 'Beach', 'Beach']"
41,Beach,Mornington Peninsula Shire Council,Point Leo Beach,145.077522,-38.4192237,,,Point Leo,"['Mornington Peninsula Shire Council', 'Point Leo', 'Tourist', 'Beach', 'Beach']"
42,Beach,Mornington Peninsula Shire Council,Point Leo Surf Beach,145.0711015,-38.4249126,,,Point Leo,"['Mornington Peninsula Shire Council', 'Point Leo', 'Tourist', 'Beach', 'Beach']"
43,Beach,Mornington Peninsula Shire Council,Portsea Surf Beach,144.708825,-38.337077,,,Portsea,"['Mornington Peninsula Shire Council', 'Portsea', 'Tourist', 'Beach', 'Beach', 'Port']"
44,Beach,Mornington Peninsula Shire Council,Ranelagh Beach,145.07742020000000,-38.1769011,,,Mount Eliza,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Tourist', 'Beach', 'Beach']"
45,Beach,Mornington Peninsula Shire Council,Royal Beach,145.0332872,-38.2175346,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
46,Beach,Mornington Peninsula Shire Council,Rye Ocean Beach,144.82398600000000,-38.4186908,,,St Andrews Beach,"['Mornington Peninsula Shire Council', 'St Andrews Beach', 'Tourist', 'Beach', 'Beach']"
47,Beach,Mornington Peninsula Shire Council,Safety Beach,144.9833485,-38.321416,,,Safety Beach,"['Mornington Peninsula Shire Council', 'Safety Beach', 'Tourist', 'Beach', 'Beach']"
48,Beach,Mornington Peninsula Shire Council,Saint Andrews Beach,144.834868,-38.4270854,,,St Andrews Beach,"['Mornington Peninsula Shire Council', 'St Andrews Beach', 'Tourist', 'Beach', 'Beach']"
49,Beach,Mornington Peninsula Shire Council,Saint Pauls Beach,144.73615880000000,-38.3532726,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Beach', 'Beach']"
50,Beach,Mornington Peninsula Shire Council,Scout Beach,145.0384625,-38.2147255,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
51,Beach,Mornington Peninsula Shire Council,Shire Hall Beach,145.03991430000000,-38.2140826,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
52,Beach,Mornington Peninsula Shire Council,Shoreham Beach,145.0456439,-38.4361992,,,Shoreham,"['Mornington Peninsula Shire Council', 'Shoreham', 'Tourist', 'Beach', 'Beach']"
53,Beach,Mornington Peninsula Shire Council,Somers Beach,145.1618103,-38.3951722,,,Somers,"['Mornington Peninsula Shire Council', 'Somers', 'Tourist', 'Beach', 'Beach']"
54,Beach,Mornington Peninsula Shire Council,Sorrento Back Beach,144.72826930000000,-38.3468581,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Beach', 'Beach']"
55,Beach,Mornington Peninsula Shire Council,Sorrento Front Beach,144.7486265,-38.3420493,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Beach', 'Beach']"
56,Beach,Mornington Peninsula Shire Council,South Beach,145.17389630000000,-38.396314,,,Somers,"['Mornington Peninsula Shire Council', 'Somers', 'Tourist', 'Beach', 'Beach']"
57,Beach,Mornington Peninsula Shire Council,St Andrews Beach,144.834868,-38.4270854,,,St Andrews Beach,"['Mornington Peninsula Shire Council', 'St Andrews Beach', 'Tourist', 'Beach', 'Beach']"
58,Beach,Mornington Peninsula Shire Council,St Pauls Beach,144.73615880000000,-38.3532726,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Beach', 'Beach']"
59,Beach,Mornington Peninsula Shire Council,Sunnyside Beach,145.0625511,-38.2003214,,,Mount Eliza,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Tourist', 'Beach', 'Beach']"
60,Beach,Mornington Peninsula Shire Council,Western Park Beach,145.1836269,-38.3980263,,,Somers,"['Mornington Peninsula Shire Council', 'Somers', 'Tourist', 'Beach', 'Park', 'Beach']"
61,Beach,Mornington Peninsula Shire Council,Woolley Beach,145.217719,-38.3465923,,,Crib Point,"['Mornington Peninsula Shire Council', 'Crib Point', 'Tourist', 'Beach', 'Beach']"
