,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
118,Moonee Valley City Council,Essendon Cricket Ground,Essendon,-37.751978,144.919345,Australian Rules Football,1.0,Grass,4. Good,Unisex,35 Brewster Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Football']",,
119,Moonee Valley City Council,Etzel Reserve,Airport West,-37.722084,144.875968,Australian Rules Football,1.0,Grass,3. Average,Unisex,29 Etzel Street Airport West 3042,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Football']",,
120,Moonee Valley City Council,Hansen Reserve,Airport West,-37.72357,144.878141,Australian Rules Football,1.0,Grass,3. Average,Male,27 Etzel Street Airport West 3042,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Football']",,
121,Moonee Valley City Council,Lebanon Reserve,Strathmore,-37.727606,144.921249,Australian Rules Football,1.0,Grass,2. Poor,Male,10 Mascoma Street Strathmore 3041,,"['Moonee Valley City Council', 'Strathmore', 'Sports', 'Football']",,
122,Moonee Valley City Council,Maribyrnong Park,Moonee Ponds,-37.766676,144.904086,Australian Rules Football,2.0,Grass,4. Good,Unisex,189 Holmes Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Football']",,
123,Moonee Valley City Council,Ormond Park,Moonee Ponds,-37.771863,144.935225,Australian Rules Football,1.0,Grass,4. Good,Male,2a Pattinson Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Football']",,
124,Moonee Valley City Council,Overland Reserve,Keilor East,-37.743552,144.85726200000000,Australian Rules Football,3.0,Grass,3. Average,Male,7a Parkside Avenue Keilor East 3033,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Football']",,
125,Moonee Valley City Council,Walter Street Reserve,Ascot Vale,-37.776707,144.907981,Australian Rules Football,1.0,Grass,4. Good,Unisex,110 Walter Street Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Football']",,
126,Moonee Valley City Council,Doutta Galla Ladies Badminton Club (Doutta Galla Youth Hall),North Essendon,-37.738961,144.902638,Badminton,1.0,,3. Average,"Female, Male",Corner Kerferd & McCulloch Street North Essendon 3041,,"['Moonee Valley City Council', 'North Essendon', 'Sports', 'Badminton']",,
127,Moonee Valley City Council,Essendon Christ Church Badminton Club,Essendon,-37.756772,144.913693,Badminton,,,,,Corner Buckley Street & Mt Alexander Road Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Badminton']",,
128,Moonee Valley City Council,AJ Davis Reserve,Niddrie,-37.729161,144.87355,Cricket,1.0,Synthetic Pitch,3. Average,Unisex,300-320 Fullarton Road Niddrie 3042,,"['Moonee Valley City Council', 'Niddrie', 'Sports', 'Cricket']",,
129,Moonee Valley City Council,Debney Park,Flemington,-37.785636,144.937395,Cricket,1.0,Synthetic Pitch,4. Good,Unisex,25 Mount Alexander Road Flemington 3031,,"['Moonee Valley City Council', 'Flemington', 'Sports', 'Cricket']",,
130,Moonee Valley City Council,Doyle Reserve (Avondale Heights Reserve),Avondale Heights,-37.76268,144.858666,Cricket,1.0,Synthetic Pitch,4. Good,Unisex,Doyle Street Avondale Heights 3034,,"['Moonee Valley City Council', 'Avondale Heights', 'Sports', 'Cricket']",,
131,Moonee Valley City Council,Fairbairn Park,Ascot Vale,-37.774044,144.897979,Cricket,8.0,Synthetic Pitch,2. Poor,Unisex,Woods Street Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Cricket']",,
132,Moonee Valley City Council,Strathnaver Reserve,Strathmore Heights,-37.718403,144.90944300000000,Cricket,1.0,Synthetic Pitch,1. Very Poor,Male,1 Boeing Road Strathmore Heights 3041,,"['Moonee Valley City Council', 'Strathmore Heights', 'Sports', 'Cricket']",,
133,Moonee Valley City Council,Doutta Galla Yoga Studio,Ascot Vale,-37.775445,144.928761,Fitness / Gymnasium Workouts,,,,,1A Warrick Street Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Gymnasium']",,
134,Moonee Valley City Council,Listen To Your Body - Moonee Ponds,Moonee Ponds,-37.765069,144.919971,Fitness / Gymnasium Workouts,,,,,2/38 Margaret Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Gymnasium']",,
135,Moonee Valley City Council,Natural Muscle,Ascot Vale,-37.774717,144.92804100000000,Fitness / Gymnasium Workouts,,,,,393 Mount Alexander Road Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Gymnasium']",,
136,Moonee Valley City Council,Riverside Golf and Tennis Centre,Ascot Vale,-37.776768,144.90096600000000,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",75 Newsom Street Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Golf']",,
137,Moonee Valley City Council,Essendon Keilor Gym Academy,Airport West,-37.728272,144.865872,Gymnastics,,,,,196 Roberts Road Airport West 3042,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Gymnastics']",,
138,Moonee Valley City Council,Niddrie Gymnastic Club,Essendon,-37.749804,144.910919,Gymnastics,,,,,44 Wirraway Road Essendon 3041,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Gymnastics']",,
139,Moonee Valley City Council,YMCA Moonee Valley,Essendon,-37.746211,144.897598,Gymnastics,,,,,Cooper Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Gymnastics']",,
140,Moonee Valley City Council,Essendon Hockey Centre,Ascot Vale,-37.776742,144.935917,Hockey,2.0,Artificial Turf,,Unisex,2 Hockey Lane Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Hockey']",,
141,Moonee Valley City Council,PEGS Sports Field,Keilor East,-37.734239,144.870981,Hockey,2.0,Artificial Turf,,,"Penleigh & Essendon Grammar School East Keilor Campus, Susan Court, Valley Lake, Keilor East, City of Moonee Valley, Victoria, 3033, Australia",,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Hockey']",,
142,Moonee Valley City Council,Aberfeldie Bowls Club,Essendon,-37.757436,144.908587,Lawn Bowls,2.0,Grass,4. Good,Unisex,13 Scott Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports']",,
143,Moonee Valley City Council,Buckley Park Bowls Club,Essendon,-37.74369,144.897555,Lawn Bowls,7.0,Grass,5. Very Good,Unisex,Cooper Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports']",,
144,Moonee Valley City Council,Clifton Park Bowling Club,Aberfeldie,-37.755774,144.8927,Lawn Bowls,2.0,Grass,3. Average,Unisex,7 Batman Street Aberfeldie 3040,,"['Moonee Valley City Council', 'Aberfeldie', 'Sports']",,
145,Moonee Valley City Council,Doutta Galla Bowls Club,North Essendon,-37.739,144.9035,Lawn Bowls,2.0,Grass,2. Poor,Unisex,52-56 Kerferd Street North Essendon 3041,,"['Moonee Valley City Council', 'North Essendon', 'Sports']",,
146,Moonee Valley City Council,Essendon Bowls Club,Essendon,-37.752814,144.919345,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",Raleigh Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports']",,
147,Moonee Valley City Council,Maribyrnong Park Bowls Club,Moonee Ponds,-37.765552,144.903115,Lawn Bowls,3.0,Grass,4. Good,"Female, Male",189 Holmes Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports']",,
148,Moonee Valley City Council,Moonee Ponds Bowls Club,Moonee Ponds,-37.762647,144.923561,Lawn Bowls,2.0,Grass,,"Female, Male",776 Mount Alexander Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports']",,
149,Moonee Valley City Council,Moonee Valley Bowls Club,Moonee Ponds,-37.770822,144.934358,Lawn Bowls,,,,,2 Pattison Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports']",,
150,Moonee Valley City Council,Strathmore Bowls Club,Strathmore,-37.734016,144.92031,Lawn Bowls,3.0,Grass,,Unisex,28 Loeman Street Strathmore 3041,,"['Moonee Valley City Council', 'Strathmore', 'Sports']",,
151,Moonee Valley City Council,Niddrie Community Centre Netball Courts,Airport West,-37.7318,144.884284,Netball,3.0,Synthetic,,,27 Bowes Avenue Airport West 3042,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Netball']",,
152,Moonee Valley City Council,JH Allan Reserve,Keilor East,-37.747538,144.857438,Soccer,1.0,Grass,4. Good,"Umpire/Officials, Unisex","Park Drive, Valley Lake, Keilor East, City of Moonee Valley, Victoria, 3033, Australia",,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Soccer']",,
153,Moonee Valley City Council,Quinn Grove Reserve,East Keilor,-37.739438,144.872,Soccer,1.0,Artificial Turf,5. Very Good,Unisex,84 Quinn Grove East Keilor 3033,,"['Moonee Valley City Council', 'East Keilor', 'Sports', 'Soccer']",,
154,Moonee Valley City Council,Indoor Soccer Headquarters,Airport West,-37.715962,144.889,Soccer (Indoor Soccer / Futsal),2.0,,,,8 Louise Street Airport West 3042,,"['Moonee Valley City Council', 'Airport West', 'Sports', 'Soccer']",,
155,Moonee Valley City Council,Essendon Squash Courts,Moonee Ponds,-37.758,144.917,Squash / Racquetball,,,,,7 Carlyle Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Squash']",,
156,Moonee Valley City Council,Paul Saddler Swimland,Essendon,-37.748589,144.883248,Swimming,,,,,41a Rosehill Road Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Swimming']",,
157,Moonee Valley City Council,Queens Park Swimming Pool,Moonee Ponds,-37.761978000000000,144.925204,Swimming,,"25m Pool - Outdoor, 30m Pool - Outdoor, Toddlers Pool",2. Poor,"Female, Male",Corner The Strand & Pascoe Vale Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Swimming']",,
158,Moonee Valley City Council,Seymour's Pool,Essendon,-37.741017,144.89586700000000,Swimming,,,,,23 Graves Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Swimming']",,
159,Moonee Valley City Council,Max Johnstone Reserve,Strathmore,-37.73377,144.919345,Tennis (Outdoor),5.0,Hard Court,2. Poor,,Corner Loeman and Napier Street Strathmore 3041,,"['Moonee Valley City Council', 'Strathmore', 'Sports', 'Tennis']",,
160,Melton City Council,Melton South Recreation Reserve,Melton South,-37.708261,144.576442,Athletics,1.0,Grass,3. Average,Unisex,Northcott Street Melton South 3338,,"['Melton City Council', 'Melton South', 'Sports', 'Athletics']",,
161,Melton City Council,Arnolds Creek Recreation Reserve,Melton,-37.667209,144.546475,Australian Rules Football,1.0,Grass,Same as above,Same as above,Claret Ash Boulevard Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Football']",,
162,Melton City Council,Blackwood Drive Recreation Reserve,Melton,-37.692236,144.57204300000000,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Blackwood Drive Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Football']",,
163,Melton City Council,Burnside Heights Recreation Reserve,Burnside Heights,-37.736311,144.754676,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Tenterfield Drive Burnside Heights 3023,,"['Melton City Council', 'Burnside Heights', 'Sports', 'Football']",,
164,Melton City Council,Caroline Springs Town Centre Recreation Reserve,Caroline Springs,-37.733132,144.737208,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",The Crossing Caroline Springs 3023,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Football']",,
165,Melton City Council,Diggers Rest Recreation Reserve,Diggers Rest,-37.621057,144.708629,Australian Rules Football,2.0,Grass,3. Average,"Female, Male",Plumpton Road Diggers Rest 3427,,"['Melton City Council', 'Diggers Rest', 'Sports', 'Football']",,
166,Melton City Council,Hillside Recreation Reserve,Hillside,-37.684739,144.738356,Australian Rules Football,1.0,Grass,4. Good,Unisex,Royal Crescent Hillside 3037,,"['Melton City Council', 'Hillside', 'Sports', 'Football']",,
167,Melton City Council,MacPherson Park Recreation Reserve,Melton,-37.636414,144.57175,Australian Rules Football,1.0,Grass,3. Average,Unisex,Coburns Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Football']",,
168,Melton City Council,Melton Recreation Reserve,Melton,-37.685217,144.588602,Australian Rules Football,1.0,Grass,4. Good,Unisex,Reserve Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Football']",,
169,Melton City Council,Rockbank Recreation Reserve,Rockbank,-37.732548,144.659747,Australian Rules Football,1.0,Grass,3. Average,Unisex,Westcott Parade Rockbank 3335,,"['Melton City Council', 'Rockbank', 'Sports', 'Football']",,
170,Melton City Council,Caroline Springs Leisure Centre,Caroline Springs,-37.732588,144.73988,Badminton,8.0,Wooden Flooring,5. Very Good,"Female, Male, Umpire/Officials",9-19 The Parade Caroline Springs 3023,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Badminton']",,
171,Melton City Council,Banchory Avenue Tennis Court,Hillside,-37.688411,144.74898000000000,Basketball,1.0,Asphalt,3. Average,,Banchory Avenue Hillside 3037,,"['Melton City Council', 'Hillside', 'Sports', 'Basketball']",,
172,Melton City Council,Eynesbury Tennis Centre,Eynesbury,-37.76724,144.562905,Basketball,1.0,Synthetic,,,Eynesbury Road Eynesbury 3338,,"['Melton City Council', 'Eynesbury', 'Sports', 'Basketball']",,
173,Melton City Council,Melton Indoor Recreation Centre,Melton,-37.681499,144.567827,Basketball,3.0,Wooden Gymnasium,4. Good,"Female, Male",Coburns Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Basketball']",,
174,Melton City Council,Melton Indoor Sports Stadium,Melton,-37.681499,144.567827,Beach Volleyball,,,,,65 Reserve Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports']",,
175,Melton City Council,Kurunjang Park Recreation Reserve,Melton,-37.671775,144.583759,Cricket,2.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Centenary Avenue Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Cricket']",,
176,Melton City Council,Westlakes Recreation Reserve,Melton,-37.679754,144.54876400000000,Cricket,1.0,Synthetic Pitch,3. Average,,Bulmans Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Cricket']",,
177,Melton City Council,Melton Equestrian Park,Melton,-37.638326,144.556654,Equestrian,,Grass,4. Good,Unisex,Bulmans Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports']",,
178,Melton City Council,Body Style World of Health & Fitness,Melton,-37.685,144.58100000000000,Fitness / Gymnasium Workouts,,,,,41 McKenzie Street Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnasium']",,
179,Melton City Council,Contours Caroline Springs Fitness Studio,Caroline Springs,-37.732122,144.741538,Fitness / Gymnasium Workouts,,,,,Caroline Springs Boulevard Caroline Springs 3023,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Gymnasium']",,
180,Melton City Council,Fernwood Women's Health Clubs,Melton,-37.683773,144.57879,Fitness / Gymnasium Workouts,,,,,413 High Street Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnasium']",,
181,Melton City Council,Genisis Melton,Melton,-37.70104600000000,144.564534,Fitness / Gymnasium Workouts,,,,,1/15-21 Coburns Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnasium']",,
182,Melton City Council,Healthy Inspirations Melton,Melton,-37.684,144.5945,Fitness / Gymnasium Workouts,,,,,175 High Street Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnasium']",,
183,Melton City Council,Inch by Inch Body Toning,Melton South,-37.700161,144.578936,Fitness / Gymnasium Workouts,,,,,Sutherland Avenue Melton South 3338,,"['Melton City Council', 'Melton South', 'Sports', 'Gymnasium']",,
184,Melton City Council,Melton Waves Leisure Centre,Melton,-37.678426,144.570107,Fitness / Gymnasium Workouts,,,4. Good,"Female, Male, Unisex",Coburns Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnasium']",,
185,Melton City Council,Obsessed with Fitness,Ravenhall,-37.771128,144.754312,Fitness / Gymnasium Workouts,,,,,3/7-9 Westwood Drive Ravenhall 3023,,"['Melton City Council', 'Ravenhall', 'Sports', 'Gymnasium']",,
186,Melton City Council,Re-Creation Health Club,Caroline Springs,-37.733,144.7415,Fitness / Gymnasium Workouts,,,,,13-15 Lake Street Caroline Springs 3023,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Gymnasium']",,
187,Melton City Council,Eynesbury Golf Club,Eynesbury,-37.76724,144.562905,Golf,,18 Hole Course - Public,,,Eynesbury Road Eynesbury 3338,,"['Melton City Council', 'Eynesbury', 'Sports', 'Golf']",,
188,Melton City Council,Melton Golf Range,Melton,-37.698673,144.603592,Golf,,,,,Ferris Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Golf']",,
189,Melton City Council,Melton Valley Golf Course,Melton,-37.68097,144.595673,Golf,,18 Hole Course - Public,,,Melton Valley Drive Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Golf']",,
190,Melton City Council,Gymnastics Unlimited Caroline Springs,Ravenhall,-37.764999,144.752,Gymnastics,,,,,5/51-53 Westwood Drive Ravenhall 3023,,"['Melton City Council', 'Ravenhall', 'Sports', 'Gymnastics']",,
191,Melton City Council,Melton Gymnastic Academy,Melton,-37.690122,144.59992,Gymnastics,,,,,9 Collins Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Gymnastics']",,
192,Melton City Council,Heathdale Christian College (Formerly Mowbray College),Melton,-37.66960200000000,144.58118000000000,Hockey,1.0,Artificial Turf,,,Centenary Avenue Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Hockey']",,
193,Melton City Council,Mowbray College,Melton,-37.669944,144.581028,Hockey,1.0,Artificial Turf,,,Centenary Avenue Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Hockey']",,
194,Melton City Council,Diggers Rest Bowling Club,Diggers Rest,-37.629674,144.721541,Lawn Bowls,1.0,Artificial Turf,3. Average,"Female, Male",Old Calder Highway Diggers Rest 3427,,"['Melton City Council', 'Diggers Rest', 'Sports']",,
195,Melton City Council,Melton Bowling Club,Melton,-37.68476500000000,144.592489,Lawn Bowls,2.0,Artificial Turf,3. Average,,Reserve Road Melton 3337,,"['Melton City Council', 'Melton', 'Sports']",,
196,Melton City Council,Mount Cottrell Bowls Club,Rockbank,-37.739144,144.61609200000000,Lawn Bowls,1.0,,,,1307-1349 Mount Cottrell Road Rockbank 3335,,"['Melton City Council', 'Rockbank', 'Sports']",,
197,Melton City Council,Westside Martial Arts,Ravenhall,-37.766095,144.747198,Martial Arts,,,,,Rebecca Drive Ravenhall 3023,,"['Melton City Council', 'Ravenhall', 'Sports', 'Martial Arts']",,
198,Melton City Council,Melton Pistol Club,Melton South,-37.714241,144.547177,Shooting Sports,,,,,Clarkes Road Melton South 3338,,"['Melton City Council', 'Melton South', 'Sports', 'Shooting']",,
199,Melton City Council,Cambrian Way Skate Park,Melton West,-37.675673,144.552774,Skating,1.0,,3. Average,,Cambrian Way Melton West 3337,,"['Melton City Council', 'Melton West', 'Sports', 'Skating']",,
200,Melton City Council,Melton South Skate Park,Melton South,-37.705053,144.564884,Skating,1.0,Concrete,,,Rees Road Melton South 3338,,"['Melton City Council', 'Melton South', 'Sports', 'Skating']",,
201,Melton City Council,Springside Recreation Reserve,Caroline Springs,-37.711792,144.736895,Soccer,2.0,Artificial Turf,5. Very Good,"Umpire/Officials, Unisex",Lancefield Drive Caroline Springs 3023,,"['Melton City Council', 'Caroline Springs', 'Sports', 'Soccer']",,
202,Melton City Council,Melton Squash Central,Melton,-37.685548,144.582007,Squash / Racquetball,,,,,McKenzie Street Melton 3337,,"['Melton City Council', 'Melton', 'Sports', 'Squash']",,
